Metadata_SMILES,Metadata_BROAD_ID,Scaffold
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C#C,BRD-K03981224,O=C1C=C2CCC3C4CCCC4CCC3C2CC1
CCCCC[C@H](O)\C=C\[C@H]1C=CC(=O)[C@@H]1CCCCCCC(O)=O,BRD-K04010869,O=C1C=CCC1
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CCC2=O,BRD-K04046242,O=C1CCC2C3=CCc4ccccc4C3CCC12
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,BRD-K04111260,O=C(NCC1CCCN1)c1ccccc1
COc1cc(C(O)=O)c2Oc3c(C=O)c(O)cc(C)c3C(=O)Oc2c1C,BRD-K04170657,O=C1Oc2ccccc2Oc2ccccc21
CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC,BRD-K04185004,c1ccccc1
CC[C@H](NC(=O)c1c(C)c(nc2ccccc12)-c1ccccc1)c1ccccc1,BRD-K04414442,O=C(NCc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12
[O-][N+](=O)c1cccc2cn[nH]c12,BRD-K04430056,c1ccc2[nH]ncc2c1
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc23)cc1,BRD-K04704168,c1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
Nc1ccc(cc1)-c1cc(=O)c2cc(O)ccc2o1,BRD-K04976539,O=c1cc(-c2ccccc2)oc2ccccc12
CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1,BRD-K05151076,c1ccc(-c2cc3ccccc3[nH]2)cc1
Clc1cccc(N2CCN(CCCCNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,BRD-K05181084,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc2c(c1)Cc1ccccc1-2
OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,BRD-K05181463,c1ccc(C2CCN(Cc3c[nH]c4ccccc34)CC2)cc1
NC(=N)NCCNS(=O)(=O)c1cccc2cnccc12,BRD-K05434375,c1ccc2cnccc2c1
COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1,BRD-K05464208,O=C(c1ccccc1)N1CCC(Cc2ccccc2)CC1
CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1,BRD-K05653692,c1ccc(CCCN2CCOCC2)cc1
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl,BRD-K05673000,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1
CCN(CC)C(=O)N[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1,BRD-K05901394,c1cc2c3c(c[nH]c3c1)CC1NCCCC21
CC1(C)O[C@H]2CC(=O)OC[C@@]22[C@H]1CC(=O)[C@]1(C)[C@@H]2CC[C@@]2(C)[C@@H](OC(=O)[C@H]3O[C@@]123)c1ccoc1,BRD-K05906022,O=C1CC2OCC3CC(=O)C4C(CCC5C(c6ccoc6)OC(=O)C6OC654)C32CO1
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,BRD-K05977355,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1
CCCCC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,BRD-K06014311,c1ccc(Cc2cc3ccccc3[nH]2)cc1
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCCC(O)=O,BRD-K06024458,
CN1CCN(CC(=O)N2c3c(C)scc3C(=O)Nc3ccccc23)CC1,BRD-K06147391,O=C1Nc2ccccc2N(C(=O)CN2CCNCC2)c2cscc21
OC(=O)Cc1cc2ccccc2nc1C(O)=O,BRD-K06159959,c1ccc2ncccc2c1
COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC,BRD-K06208435,c1ccc(CCNCCc2ccccc2)cc1
CS(=O)(=O)c1ccc(cc1)-c1cc(Br)sc1-c1ccc(F)cc1,BRD-K06221026,c1ccc(-c2ccsc2-c2ccccc2)cc1
c1[nH]nc(c1-c1ccnc2ccccc12)-c1ccccn1,BRD-K06234293,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
Cc1nc2c(s1)C(=O)C=C(Nc1ccc(C)cc1)C2=O,BRD-K06426971,O=C1C(Nc2ccccc2)=CC(=O)c2scnc21
COC(=O)[C@@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,BRD-K06467078,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3
Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCSC(N)=N)c3ccccc23)c2ccccc12,BRD-K06543683,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12
CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C,BRD-K06593056,c1ccc(C2=Nc3cc4c(cc3Nc3ccccc32)CCCC4)cc1
COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,BRD-K06753942,O=c1cc(-c2ccccc2)oc2ccccc12
CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,BRD-K06854232,O=C(Nc1ccccc1)c1ccc2c(c1)CCCC2
CN(C)CCCN1c2ccccc2Sc2ccccc12,BRD-K06980535,c1ccc2c(c1)Nc1ccccc1S2
CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,BRD-K07117950,O=c1ccc2cc3ccoc3cc2o1
C\C=C(\C)C(=O)O[C@@H]1Cc2c(OC1(C)C)ccc1ccc(=O)oc21,BRD-K07212038,O=c1ccc2ccc3c(c2o1)CCCO3
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1,BRD-K07220430,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Oc1cc(\C=C\c2ccc(O)c(O)c2)oc(=O)c1,BRD-K07325606,O=c1cccc(C=Cc2ccccc2)o1
C[C@H](Cc1ccc(OCC(O)=O)cc1)NC[C@H](O)c1cccc(Cl)c1,BRD-K07507905,c1ccc(CCNCCc2ccccc2)cc1
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,BRD-K07691486,c1ccc(CNc2ncnc3[nH]cnc23)cc1
CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,BRD-K07762753,c1ccc(Nc2ncnc3[nH]cnc23)cc1
Oc1ccc(\C=C(/C#N)C(=O)c2ccc(O)c(O)c2)cc1O,BRD-K07888196,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34,BRD-K08078237,c1cc2cc(c1)Oc1ccc(cc1)CC1NCCc3ccc(cc31)Oc1cccc3c1C(C2)NCC3
Oc1c(-c2cccc(Oc3ccccc3)c2)c(=O)[nH]c2cc(Cl)ccc12,BRD-K08109516,O=c1[nH]c2ccccc2cc1-c1cccc(Oc2ccccc2)c1
Oc1cc(C=C(C#N)C#N)cc(c1O)[N+]([O-])=O,BRD-K08115555,c1ccccc1
COc1cc(C=C(C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,BRD-K08132273,c1ccc(CSc2nc3ccccc3s2)cc1
CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,BRD-K08219523,c1ccc2[nH]ccc2c1
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256,c1ccc(Nc2ccccc2)cc1
CCCCOC(=O)c1ccc(O)cc1,BRD-K08287586,c1ccccc1
COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C,BRD-K08316444,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3
Clc1ccc(CN(CCCNC(=S)NCCCc2c[nH]cn2)c2ccc(Br)cn2)cc1Cl,BRD-K08438429,S=C(NCCCc1c[nH]cn1)NCCCN(Cc1ccccc1)c1ccccn1
CCOc1ccc(cc1)-c1nc2cc(ccc2[nH]1)-c1nc2cc(ccc2[nH]1)N1CCN(C)CC1,BRD-K08554278,c1ccc(-c2nc3cc(-c4nc5cc(N6CCNCC6)ccc5[nH]4)ccc3[nH]2)cc1
CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1,BRD-K08619574,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
C(C#CCN1CCCC1)N1CCCC1,BRD-K08619838,C(#CCN1CCCC1)CN1CCCC1
Cc1c[nH]c(=O)n(CCCN2CCN(CC2)c2ccccc2OCC(F)(F)F)c1=O,BRD-K08640512,O=c1cc[nH]c(=O)n1CCCN1CCN(c2ccccc2)CC1
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,BRD-K08806317,c1nsnc1N1CCOCC1
NC(=O)NN=Cc1ccc(Oc2ccc(F)cc2)cc1,BRD-K08890269,c1ccc(Oc2ccccc2)cc1
CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,BRD-K08973992,
C(CNc1nc2ccccc2s1)COc1cccc(CN2CCCCC2)c1,BRD-K08996725,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1
Fc1ccc(cc1)N1CCN(CCCN2c3cccc4cccc(c34)S2(=O)=O)CC1,BRD-K08998509,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccccc2)CC1
NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCCOc2c1,BRD-K09132007,c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1
Oc1c(I)cc(Cl)c2cccnc12,BRD-K09255212,c1ccc2ncccc2c1
NC1CCN(CC1)c1cccc(Cl)n1,BRD-K09397065,c1ccc(N2CCCCC2)nc1
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,BRD-K09416995,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,BRD-K09471561,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2
COC1=CC(=O)O[C@H](C1)\C=C\c1ccccc1,BRD-K09497549,O=C1C=CCC(C=Cc2ccccc2)O1
O=c1cc(oc2c3ccccc3ccc12)N1CCOCC1,BRD-K09537769,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
